FIT 2parpoly3
PLOT 2d
LOWER_LIMITS  0 0
UPPER_LIMITS  1000 500
REFIT_FILTER 5
DATA_UPPER_LIMIT  220
DATA_TYPE chisq
1 1 207.535283241045875
1 100 206.775277443283841
1 120 206.073503717281056
1 140 204.927651482163810
1 160 203.152807910509722
1 180 207.288266765160216
1 20 207.109437760971474
1 200 208.169064785669008
1 220 207.486631962803159
1 240 208.137293286742789
1 260 207.118149757419360
1 280 207.256552878361049
1 300 208.143994360485749
1 320 206.802031114394339
1 340 205.329186397728478
1 360 205.927685800830432
1 380 207.405621676001203
1 40 208.879465207685143
1 400 209.691194756927558
1 420 208.850046762965349
1 440 210.590259656472227
1 460 209.276653205583273
1 480 213.655482480536250
1 500 211.436229085111165
1 520 213.825107325574010
1 540 212.855093483867677
1 560 213.865039163138192
1 580 211.902426581625633
1 60 207.496547270865250
1 600 212.690041984382503
1 640 212.706049954279138
1 680 211.530082042509008
1 720 213.344051639596358
1 760 213.206053832328109
1 80 206.653034599318033
1 800 214.258235478040547
100 1 204.370389188329881
100 100 200.803506783218353
100 120 199.028709769234126
100 140 197.743855363973637
100 160 195.526794380776124
100 180 199.935986248571567
100 20 202.811635349859472
100 200 200.735031270376254
100 220 199.533595071252904
100 240 200.683941255125774
100 260 198.347771764840616
100 280 197.743436588897055
100 300 198.828853329379967
100 320 195.225337445468767
100 340 194.499351972631075
100 360 195.607371671107416
100 380 198.300041391647767
100 40 204.663362966694649
100 400 200.038315245541071
100 420 197.759465431028985
100 440 202.155336623209649
100 460 197.780758303450511
100 480 206.707825508697965
100 500 203.421731671873658
100 520 205.387975847950997
100 540 203.197442517490202
100 560 207.042624616710214
100 580 199.535326079281333
100 60 202.262348508222487
100 600 205.693703242742146
100 640 202.560684502778741
100 680 199.804923345947941
100 720 205.454856830911126
100 760 201.600598112787821
100 80 200.031001030816924
100 800 208.210047797435948
120 1 205.460137666249551
120 100 203.259564004227713
120 120 201.245807274529199
120 140 200.579053665108404
120 160 198.168150732954871
120 180 202.515365930185425
120 20 204.373186401557774
120 200 203.654673733182079
120 220 202.311805324681444
120 240 203.221953382165253
120 260 200.550184425431269
120 280 200.623058738709915
120 300 201.633599881612326
120 320 198.223224993607801
120 340 197.132011500168346
120 360 198.355909971000216
120 380 200.629482298418026
120 40 206.171044509290738
120 400 202.429354729738492
120 420 200.613191951035333
120 440 204.625781331368103
120 460 200.251074332863851
120 480 209.047042659008326
120 500 205.661053505353749
120 520 208.132165629897145
120 540 205.933182797053348
120 560 209.342743921458521
120 580 202.124342063714664
120 60 204.099766487458538
120 600 208.031211883713354
120 640 204.813959627671409
120 680 201.922583503049452
120 720 208.225909811190405
120 760 204.291482718344099
120 80 202.196788089088898
120 800 210.419134278702728
140 1 205.105940112061376
140 100 201.988067806266201
140 120 200.157014440060152
140 140 199.162621834898800
140 160 197.305773970424326
140 180 200.772946915793312
140 20 203.833168134036811
140 200 201.942111131037422
140 220 200.536320378396596
140 240 201.573804232716810
140 260 198.917484524833810
140 280 198.907615052131064
140 300 199.596905088591086
140 320 196.441165183742783
140 340 195.816611444531191
140 360 197.140139094431106
140 380 198.739485503962015
140 40 205.573217729070677
140 400 200.497548804297111
140 420 198.597110837975521
140 440 202.503659753185048
140 460 198.698209544133078
140 480 206.236444591741247
140 500 203.202493914101325
140 520 205.528494751690857
140 540 202.945802876487477
140 560 206.417978309643559
140 580 200.301983224344070
140 60 203.080276291682964
140 600 205.220745146307763
140 640 202.054564289636090
140 680 199.948056251987509
140 720 205.293711909532703
140 760 201.811306700544947
140 80 201.554363309681065
140 800 207.621962014317944
160 1 205.133421048013275
160 100 202.553666988397566
160 120 201.195253300475912
160 140 200.405941352571631
160 160 198.266323777906251
160 180 201.714014764452315
160 20 204.152878491335144
160 200 203.089462824605619
160 220 201.682721424487823
160 240 202.570265262782812
160 260 199.977148088797776
160 280 200.345795551249864
160 300 201.185214208277273
160 320 198.204634248891637
160 340 197.289772226108425
160 360 199.035819756502235
160 380 199.768607116710399
160 40 205.911306718363448
160 400 201.375994092670027
160 420 199.652220162036429
160 440 203.478910789972275
160 460 199.683972966185621
160 480 206.969097612868183
160 500 204.174871674252159
160 520 206.366807878870361
160 540 204.220062594083629
160 560 207.068303860858691
160 580 200.528633840606119
160 60 203.653346191661541
160 600 205.483100933836880
160 640 203.206285742545049
160 680 200.575153443575942
160 720 205.532272975654337
160 760 202.590209626799265
160 80 202.179872699347243
160 800 208.274336442102680
180 1 205.320512017147621
180 100 204.043105881026889
180 120 202.330522906438347
180 140 201.771086124412761
180 160 200.414407596881745
180 180 203.581621078367363
180 20 204.551842475170361
180 200 204.571755062866401
180 220 203.384343547220283
180 240 204.310551186235472
180 260 202.224553280542295
180 280 202.460995739859840
180 300 203.787372912361604
180 320 200.258455353179556
180 340 199.571179784523395
180 360 200.740326485067015
180 380 202.061508821223782
180 40 206.334818549174884
180 400 203.445946489870067
180 420 201.482133719911133
180 440 205.254067761648884
180 460 201.946396785603440
180 480 208.265881991567937
180 500 205.801004569523997
180 520 207.687531138651366
180 540 205.780540192469005
180 560 208.195019694993732
180 580 202.539897183405600
180 60 204.277543880185902
180 600 207.015372924955074
180 640 204.891193513613302
180 680 202.357292319258704
180 720 207.181229910673267
180 760 203.956290865056530
180 80 203.185673883460225
180 800 209.265104100328784
20 1 207.163293937084035
20 100 206.314358264260392
20 120 205.513082214849931
20 140 204.429071598045653
20 160 202.361488935778880
20 180 206.697604907526426
20 20 206.655376637300179
20 200 207.831861593752137
20 220 206.829061269810381
20 240 207.541629716005389
20 260 206.341870428948027
20 280 206.424971029898018
20 300 207.440818674696771
20 320 204.466639979200352
20 340 204.353839606684261
20 360 205.260208565462307
20 380 206.911309830566438
20 40 209.004370206226469
20 400 209.177445087990293
20 420 208.123375391383746
20 440 210.226817032999577
20 460 208.675518018582409
20 480 213.382520084727474
20 500 211.147093536290896
20 520 213.408560960903486
20 540 212.480526898091313
20 560 213.510746437921426
20 580 211.356554168617151
20 60 206.983192818198631
20 600 212.597097021032937
20 640 212.506654466090453
20 680 211.153793094129469
20 720 213.036763400795905
20 760 212.683770079898466
20 80 206.121894361213862
20 800 214.030564139974445
200 1 204.920008796921536
200 100 203.122223998261802
200 120 201.896831191348923
200 140 201.103801757546961
200 160 200.060854272581878
200 180 202.968832155071141
200 20 204.063560904265501
200 200 204.005373211492497
200 220 202.905474535976424
200 240 203.601889290540356
200 260 201.518153428331146
200 280 201.828203139002170
200 300 202.479732245942273
200 320 199.832935809688450
200 340 198.972584936287717
200 360 200.129482743953332
200 380 201.016414369541764
200 40 205.857747553291546
200 400 202.134373201733581
200 420 200.668580691623305
200 440 203.836060684531788
200 460 201.057392793785453
200 480 206.677505913100617
200 500 204.818059879355275
200 520 206.019099902492798
200 540 204.172676142809621
200 560 206.780244621962964
200 580 201.356835145998673
200 60 203.697811622468521
200 600 205.299302811746998
200 640 203.620570382916441
200 680 201.489305742855379
200 720 205.212144304138945
200 760 203.122992839026352
200 80 202.936064394079182
200 800 207.638980186748910
220 1 205.584329213671424
220 100 203.955481498566400
220 120 202.204356326741703
220 140 201.587248777688899
220 160 199.997192815004752
220 180 202.853056694458104
220 20 204.727228591595519
220 200 204.217146322232509
220 220 202.907038198654362
220 240 203.644733962309999
220 260 201.385840967330751
220 280 201.715312879908936
220 300 202.465078683725778
220 320 199.710538582089640
220 340 198.488040108980471
220 360 200.079294043412290
220 380 200.895083728609364
220 40 206.352190740703691
220 400 201.961376205284751
220 420 200.495967819310238
220 440 203.985193665270089
220 460 201.051748161060118
220 480 206.783321102296838
220 500 204.393336093892515
220 520 206.231269081736997
220 540 204.142491684919008
220 560 206.665692621624714
220 580 201.643066746469572
220 60 204.222424283350307
220 600 205.212087412067831
220 640 203.436594867132413
220 680 201.436567536859911
220 720 205.207953549924071
220 760 203.371219314941214
220 80 203.114863527956771
220 800 207.710766860880568
240 1 205.819794814803259
240 100 204.544786081101449
240 120 203.883597764195315
240 140 203.614406518810085
240 160 201.519337033920436
240 180 205.108030162790783
240 20 205.105293495310974
240 200 205.901977508471163
240 220 204.460002934588971
240 240 205.051341630446700
240 260 203.038595347001973
240 280 203.270747546299731
240 300 204.050732848906591
240 320 201.493908975812644
240 340 200.816307447383167
240 360 201.733908272057619
240 380 202.664843008580249
240 40 206.945885929992102
240 400 203.768556220593268
240 420 202.605298670592731
240 440 205.412619768655475
240 460 202.501121315543855
240 480 207.741681962999593
240 500 205.448141598144872
240 520 207.803659371417325
240 540 205.786418174707364
240 560 208.318685280633787
240 580 203.241779724441102
240 60 204.967579587443311
240 600 205.937458501784420
240 640 205.022670424334365
240 680 201.957574023635914
240 720 205.990908289726121
240 760 205.220894576545277
240 80 204.179318424868143
240 800 208.370511274955732
260 1 204.702251743439064
260 100 203.833562602594185
260 120 202.856646456850882
260 140 202.473745476933829
260 160 200.670972533048001
260 180 203.786480822824871
260 20 204.173127677563343
260 200 205.362463735536664
260 220 203.873440063586571
260 240 204.293689016519323
260 260 202.370356549870479
260 280 202.443951977259843
260 300 203.006324028287196
260 320 200.419456242519800
260 340 199.834038711901940
260 360 200.374555013020966
260 380 201.528262172843114
260 40 206.099621641064743
260 400 202.662746279754032
260 420 201.491147895037614
260 440 204.197081362432442
260 460 201.377585691848964
260 480 206.640008660523904
260 500 204.538161852805246
260 520 206.842749149778825
260 540 204.595586141334479
260 560 207.101962693104952
260 580 202.285445861519179
260 60 204.059386569748483
260 600 204.451389229965855
260 640 203.381800083989731
260 680 200.637356045293160
260 720 204.209790892094361
260 760 204.083758530468145
260 80 203.521832138484342
260 800 206.972019395429982
280 1 205.156776518529881
280 100 204.524928317003855
280 120 203.919230915612587
280 140 203.466141181414457
280 160 202.609637288850905
280 180 204.988534321757697
280 20 204.830941354094591
280 200 206.103352863184369
280 220 205.267877144253674
280 240 205.560961075290862
280 260 203.891704134070750
280 280 204.064810143972551
280 300 204.626415389678584
280 320 202.397144335216922
280 340 201.286867592697064
280 360 202.140221254804231
280 380 203.200136792022022
280 40 206.583441769256069
280 400 203.960919171083447
280 420 203.129685766533640
280 440 205.525007966009696
280 460 203.059161800469980
280 480 207.551446535413504
280 500 205.142279287895803
280 520 207.134517648977379
280 540 205.625259785557034
280 560 207.571071349203464
280 580 203.541752764713635
280 60 204.869254796085386
280 600 205.147962092168513
280 640 204.190571270649514
280 680 202.555712130231029
