This is sample data with 3 free parameters.
FIT par3
LOWER_LIMITS  14.1 0.6 2.20
UPPER_LIMITS  14.3 1.4 2.35
PLOT 2d
DATA_TYPE chisq
x y z value
14.1 0.2 2.15  7315.640565
14.1 0.2 2.2  5483.143279
14.1 0.2 2.23  4969.984818
14.1 0.2 2.24  5314.129191
14.1 0.2 2.25  4841.819614
14.1 0.2 2.26  4969.039837
14.1 0.2 2.27  4281.911231
14.1 0.2 2.28  4550.689728
14.1 0.2 2.29  4852.342267
14.1 0.2 2.3  4529.384848
14.1 0.2 2.35  3959.149848
14.1 0.2 2.4  3702.546410
14.1 0.4 2.15  5016.119321
14.1 0.4 2.2  4203.264532
14.1 0.4 2.23  3974.186101
14.1 0.4 2.24  3579.040233
14.1 0.4 2.25  3404.222638
14.1 0.4 2.26  3502.505060
14.1 0.4 2.27  3633.650884
14.1 0.4 2.28  3317.631558
14.1 0.4 2.29  3049.396261
14.1 0.4 2.3  3366.934016
14.1 0.4 2.35  2793.666843
14.1 0.4 2.4  2348.553716
14.1 0.6 2.15  3188.394561
14.1 0.6 2.2  2907.468762
14.1 0.6 2.23  2271.262452
14.1 0.6 2.24  1846.247620
14.1 0.6 2.25  2082.527648
14.1 0.6 2.26  1942.961265
14.1 0.6 2.27  2214.812733
14.1 0.6 2.28  1638.415802
14.1 0.6 2.29  1876.669868
14.1 0.6 2.3  1692.079479
14.1 0.6 2.35  1487.684880
14.1 0.6 2.4  1247.222517
14.1 0.7 2.15  2556.654439
14.1 0.7 2.2  1975.794793
14.1 0.7 2.23  1604.941115
14.1 0.7 2.24  1578.842744
14.1 0.7 2.25  1498.660977
14.1 0.7 2.26  1472.916145
14.1 0.7 2.27  1460.934795
14.1 0.7 2.28  1113.366377
14.1 0.7 2.29  1244.710695
14.1 0.7 2.3  1007.246894
14.1 0.7 2.35  928.721965
14.1 0.7 2.4  825.637417
14.1 0.8 2.15  1815.769199
14.1 0.8 2.2  1467.857889
14.1 0.8 2.23  1076.341360
14.1 0.8 2.24  1151.279102
14.1 0.8 2.25  1087.433221
14.1 0.8 2.26  1204.929098
14.1 0.8 2.27  982.030062
14.1 0.8 2.28  853.408362
14.1 0.8 2.29  790.705577
14.1 0.8 2.3  931.334007
14.1 0.8 2.35  616.461478
14.1 0.8 2.4  749.216237
14.1 1.0 2.15  1008.039143
14.1 1.0 2.2  648.669141
14.1 1.0 2.23  685.629482
14.1 1.0 2.24  718.780205
14.1 1.0 2.25  584.603244
14.1 1.0 2.26  479.405393
14.1 1.0 2.27  450.902426
14.1 1.0 2.28  457.707487
14.1 1.0 2.29  641.478421
14.1 1.0 2.3  494.269428
14.1 1.0 2.35  501.516808
14.1 1.0 2.4  630.470967
14.1 1.3 2.15  916.942897
14.1 1.3 2.2  919.138421
14.1 1.3 2.23  990.588293
14.1 1.3 2.24  855.484795
14.1 1.3 2.25  694.622022
14.1 1.3 2.26  889.063225
14.1 1.3 2.27  913.015558
14.1 1.3 2.28  1176.289511
14.1 1.3 2.29  989.580717
14.1 1.3 2.3  1067.629081
14.1 1.3 2.35  1116.213444
14.1 1.3 2.4  1305.669299
14.15 0.7 2.24  1483.188752
14.15 0.7 2.25  1203.830550
14.15 0.7 2.26  1178.745166
14.15 0.7 2.27  954.713709
14.15 0.7 2.28  1270.302334
14.15 0.7 2.29  1002.810004
14.15 0.7 2.3  927.168048
14.15 0.8 2.24  886.672024
14.15 0.8 2.25  669.105988
14.15 0.8 2.26  842.676097
14.15 0.8 2.27  759.909285
14.15 0.8 2.28  876.842121
14.15 0.8 2.29  619.026807
14.15 0.8 2.3  671.200535
14.15 0.9 2.24  627.430075
14.15 0.9 2.25  573.155386
14.15 0.9 2.26  583.327894
14.15 0.9 2.27  473.989004
14.15 0.9 2.28  494.933628
14.15 0.9 2.29  488.150497
14.15 0.9 2.3  546.859293
14.15 1.0 2.24  317.229827
14.15 1.0 2.25  369.226977
14.15 1.0 2.26  494.687495
14.15 1.0 2.27  371.269835
14.15 1.0 2.28  536.196566
14.15 1.0 2.29  359.802156
14.15 1.0 2.3  392.789307
14.15 1.1 2.24  654.386640
14.15 1.1 2.25  553.703299
14.15 1.1 2.26  410.892595
14.15 1.1 2.27  318.271807
14.15 1.1 2.28  519.287634
14.15 1.1 2.29  518.208233
14.15 1.1 2.3  420.831966
14.15 1.2 2.24  551.181353
14.15 1.2 2.25  604.390967
14.15 1.2 2.26  580.999862
14.15 1.2 2.27  754.252193
14.15 1.2 2.28  638.893144
14.15 1.2 2.29  903.295054
14.15 1.2 2.3  692.761052
14.15 1.3 2.24  783.986125
14.15 1.3 2.25  759.225062
14.15 1.3 2.26  977.099413
14.15 1.3 2.27  899.193127
14.15 1.3 2.28  1043.459947
14.15 1.3 2.29  1076.707176
14.15 1.3 2.3  1158.667604
14.16 0.7 2.24  1217.517126
14.16 0.7 2.25  1526.436744
14.16 0.7 2.26  1251.259805
14.16 0.7 2.27  943.111549
14.16 0.7 2.28  1075.024751
14.16 0.7 2.29  906.531330
14.16 0.7 2.3  999.654394
14.16 0.8 2.24  785.769904
14.16 0.8 2.25  758.528992
14.16 0.8 2.26  867.800455
14.16 0.8 2.27  835.299012
14.16 0.8 2.28  705.330633
14.16 0.8 2.29  686.669683
14.16 0.8 2.3  595.239646
14.16 0.9 2.24  575.780844
14.16 0.9 2.25  464.023909
14.16 0.9 2.26  511.607721
14.16 0.9 2.27  397.587491
14.16 0.9 2.28  504.048972
14.16 0.9 2.29  387.893664
14.16 0.9 2.3  541.430495
14.16 1.0 2.24  465.512926
14.16 1.0 2.25  423.290906
14.16 1.0 2.26  348.624378
14.16 1.0 2.27  429.300776
14.16 1.0 2.28  282.099896
14.16 1.0 2.29  403.168610
14.16 1.0 2.3  352.062930
14.16 1.1 2.24  461.630838
14.16 1.1 2.25  475.867369
14.16 1.1 2.26  397.965179
14.16 1.1 2.27  438.383234
14.16 1.1 2.28  386.400198
14.16 1.1 2.29  576.875244
14.16 1.1 2.3  521.437493
14.16 1.2 2.24  587.521732
14.16 1.2 2.25  571.026609
14.16 1.2 2.26  567.180665
14.16 1.2 2.27  632.711309
14.16 1.2 2.28  716.594797
14.16 1.2 2.29  544.433073
14.16 1.2 2.3  633.348739
14.16 1.3 2.24  763.845055
14.16 1.3 2.25  880.842774
14.16 1.3 2.26  997.524088
14.16 1.3 2.27  889.065746
14.16 1.3 2.28  956.271131
14.16 1.3 2.29  1180.163005
14.16 1.3 2.3  965.968359
14.17 0.7 2.24  1418.216491
14.17 0.7 2.25  1334.480833
14.17 0.7 2.26  1074.867340
14.17 0.7 2.27  1223.643398
14.17 0.7 2.28  1132.602031
14.17 0.7 2.29  1170.219950
14.17 0.7 2.3  958.707338
14.17 0.8 2.24  823.106260
14.17 0.8 2.25  791.103771
14.17 0.8 2.26  705.663726
14.17 0.8 2.27  653.778740
14.17 0.8 2.28  760.177240
14.17 0.8 2.29  638.889590
14.17 0.8 2.3  621.103600
14.17 0.9 2.24  540.686205
14.17 0.9 2.25  532.260031
14.17 0.9 2.26  472.933382
14.17 0.9 2.27  420.794900
14.17 0.9 2.28  439.318778
14.17 0.9 2.29  624.181713
14.17 0.9 2.3  475.457655
14.17 1.0 2.24  541.456534
14.17 1.0 2.25  388.979092
14.17 1.0 2.26  231.497471
14.17 1.0 2.27  363.677901
14.17 1.0 2.28  395.452038
14.17 1.0 2.29  324.146093
14.17 1.0 2.3  333.229280
14.17 1.1 2.24  564.769178
14.17 1.1 2.25  541.807529
14.17 1.1 2.26  455.327789
14.17 1.1 2.27  370.347397
14.17 1.1 2.28  427.123574
14.17 1.1 2.29  354.782910
14.17 1.1 2.3  504.714984
14.17 1.2 2.24  518.353985
14.17 1.2 2.25  762.471129
14.17 1.2 2.26  602.230541
14.17 1.2 2.27  641.465751
14.17 1.2 2.28  641.591482
14.17 1.2 2.29  738.350964
14.17 1.2 2.3  842.813007
14.17 1.3 2.24  891.101444
14.17 1.3 2.25  912.573318
14.17 1.3 2.26  787.210709
14.17 1.3 2.27  961.833200
14.17 1.3 2.28  870.184304
14.17 1.3 2.29  1337.526028
14.17 1.3 2.3  720.003569
14.18 0.7 2.24  1374.289915
14.18 0.7 2.25  1077.753532
14.18 0.7 2.26  1122.916684
14.18 0.7 2.27  1072.150092
14.18 0.7 2.28  1036.339418
14.18 0.7 2.29  984.216015
14.18 0.7 2.3  1056.408770
14.18 0.8 2.24  829.483017
14.18 0.8 2.25  673.262283
14.18 0.8 2.26  716.262025
14.18 0.8 2.27  734.442006
14.18 0.8 2.28  734.880263
14.18 0.8 2.29  778.258740
14.18 0.8 2.3  615.227607
14.18 0.9 2.24  563.826917
14.18 0.9 2.25  392.887203
14.18 0.9 2.26  628.041968
14.18 0.9 2.27  473.805157
14.18 0.9 2.28  452.020956
14.18 0.9 2.29  436.999733
14.18 0.9 2.3  397.299176
14.18 1.0 2.24  544.487986
14.18 1.0 2.25  387.895016
14.18 1.0 2.26  337.929983
14.18 1.0 2.27  494.666945
14.18 1.0 2.28  405.696900
14.18 1.0 2.29  396.128907
14.18 1.0 2.3  351.376607
14.18 1.1 2.24  464.841068
14.18 1.1 2.25  551.780047
14.18 1.1 2.26  357.686059
14.18 1.1 2.27  431.557654
14.18 1.1 2.28  400.359970
14.18 1.1 2.29  550.087489
14.18 1.1 2.3  514.542919
14.18 1.2 2.24  603.073610
14.18 1.2 2.25  490.479780
14.18 1.2 2.26  554.916254
14.18 1.2 2.27  816.509359
14.18 1.2 2.28  608.008558
14.18 1.2 2.29  701.859926
14.18 1.2 2.3  883.658284
14.18 1.3 2.24  1103.403906
14.18 1.3 2.25  941.601986
14.18 1.3 2.26  873.436152
14.18 1.3 2.27  1166.054186
14.18 1.3 2.28  1010.528048
14.18 1.3 2.29  972.766808
14.18 1.3 2.3  1190.542092
14.19 0.6 2.05  3988.544984
14.19 0.6 2.1  3115.322572
14.19 0.6 2.15  2762.495679
14.19 0.6 2.2  1869.562082
14.19 0.6 2.22  1647.728875
14.19 0.6 2.23  2193.816647
14.19 0.6 2.35  1279.391951
14.19 0.6 2.4  1434.126255
14.19 0.6 2.5  1608.590599
14.19 0.7 2.05  2870.596858
14.19 0.7 2.1  2474.111022
14.19 0.7 2.15  1945.840609
14.19 0.7 2.2  1392.046807
14.19 0.7 2.22  1221.730390
14.19 0.7 2.23  1286.408319
14.19 0.7 2.24  1113.497905
14.19 0.7 2.25  927.515941
14.19 0.7 2.26  1193.266129
14.19 0.7 2.27  1193.570776
14.19 0.7 2.28  938.410544
14.19 0.7 2.29  807.470344
14.19 0.7 2.3  1201.745090
14.19 0.7 2.35  1017.614650
14.19 0.7 2.4  946.803901
14.19 0.7 2.5  892.337295
14.19 0.8 2.05  2148.965033
14.19 0.8 2.1  1502.775050
14.19 0.8 2.15  1197.292478
14.19 0.8 2.2  948.037370
14.19 0.8 2.22  1071.155262
14.19 0.8 2.23  980.029241
14.19 0.8 2.24  768.077342
14.19 0.8 2.25  651.438595
14.19 0.8 2.26  563.747318
14.19 0.8 2.27  637.967972
14.19 0.8 2.28  684.044514
14.19 0.8 2.29  499.271661
14.19 0.8 2.3  717.232389
14.19 0.8 2.35  637.881167
14.19 0.8 2.4  801.024596
14.19 0.8 2.5  1229.524385
14.19 0.9 2.05  1771.576096
14.19 0.9 2.1  1389.149039
14.19 0.9 2.15  837.790806
14.19 0.9 2.22  562.205556
14.19 0.9 2.23  412.905946
14.19 0.9 2.24  493.106848
14.19 0.9 2.25  574.295040
14.19 0.9 2.26  477.548513
14.19 0.9 2.27  524.757612
14.19 0.9 2.28  495.892497
14.19 0.9 2.29  472.915745
14.19 0.9 2.3  327.395516
14.19 0.9 2.35  452.997107
14.19 0.9 2.4  597.916899
14.19 0.9 2.5  971.486386
14.19 1.0 2.05  1336.746970
14.19 1.0 2.1  877.764162
14.19 1.0 2.15  649.482480
14.19 1.0 2.2  424.032338
14.19 1.0 2.22  382.270001
14.19 1.0 2.23  308.566838
14.19 1.0 2.24  306.455485
14.19 1.0 2.25  325.375987
14.19 1.0 2.26  469.857263
14.19 1.0 2.27  382.810289
14.19 1.0 2.28  365.843185
14.19 1.0 2.29  379.030181
14.19 1.0 2.3  436.670314
14.19 1.0 2.35  521.215326
14.19 1.0 2.4  679.926853
14.19 1.0 2.5  1268.469010
14.19 1.1 2.24  337.696990
14.19 1.1 2.25  376.505321
14.19 1.1 2.26  537.617350
14.19 1.1 2.27  545.064779
14.19 1.1 2.28  465.377761
14.19 1.1 2.29  436.153652
14.19 1.1 2.3  359.835577
14.19 1.2 2.24  654.898088
14.19 1.2 2.25  560.908065
14.19 1.2 2.26  552.125157
14.19 1.2 2.27  708.664091
14.19 1.2 2.28  706.429273
14.19 1.2 2.29  802.037098
14.19 1.2 2.3  787.708872
14.19 1.3 2.24  1157.613747
14.19 1.3 2.25  1151.312114
14.19 1.3 2.26  1058.778538
14.19 1.3 2.27  1091.528586
14.19 1.3 2.28  1130.383107
