FIT 2parpoly3
PLOT 2d
DATA_TYPE chisq
0 0 2213.726186
0 10 2385.086139
0 15 2419.862462
0 20 2542.673979
0 25 2614.878154
0 30 2730.707253
0 35 2842.984533
0 40 2869.802423
0 45 2936.157701
0 5 2326.516563
0 50 3137.626828
0 60 3228.101226
110 0 1048.260033
110 10 1036.018312
110 15 1025.952081
110 20 1018.182698
110 25 1030.887429
110 30 1021.010287
110 35 1026.839571
110 40 1005.496022
110 45 985.249927
110 5 1025.355382
110 50 1007.910541
110 60 985.496105
120 0 1531.247652
120 10 1527.264279
120 15 1516.807766
120 20 1502.594917
120 25 1523.900008
120 30 1526.985374
120 35 1534.023780
120 40 1513.743222
120 45 1497.274013
120 5 1521.149688
120 50 1521.965282
120 60 1501.656693
130 0 1614.135971
130 10 1605.200927
130 15 1584.604233
130 20 1572.675920
130 25 1602.270386
130 30 1586.115372
130 35 1594.660673
130 40 1571.377305
130 45 1553.557834
130 5 1595.638642
130 50 1580.205882
130 60 1551.285031
150 0 3326.762864
150 10 3270.867156
150 15 3267.820232
150 20 3226.248539
150 25 3253.342253
150 30 3316.685270
150 35 3300.542779
150 40 3280.423312
150 45 3232.788403
150 5 3270.770625
150 50 3320.141143
150 60 3319.344073
20 0 1248.625384
20 10 1352.743521
20 15 1383.945711
20 20 1463.467298
20 25 1530.797387
20 30 1617.596410
20 35 1676.888083
20 40 1686.968444
20 45 1736.988302
20 5 1312.483082
20 50 1916.017937
20 60 1962.253734
40 0 959.526276
40 10 1014.965361
40 15 1020.248587
40 20 1060.734047
40 25 1114.578975
40 30 1172.957349
40 35 1209.637004
40 40 1225.228930
40 45 1239.420393
40 5 1004.369330
40 50 1372.058025
40 60 1406.483514
50 0 799.074202
50 10 826.809121
50 15 828.435880
50 20 858.064767
50 25 882.429170
50 30 928.887582
50 35 930.136089
50 40 938.617325
50 45 938.587842
50 5 815.285783
50 50 1031.005022
50 60 1056.862720
60 0 792.554575
60 10 815.192827
60 15 799.008831
60 20 808.875568
60 25 844.488592
60 30 877.291557
60 35 891.350589
60 40 888.498526
60 45 873.685611
60 5 796.801331
60 50 959.672679
60 60 980.981807
65 0 704.252842
65 10 704.088992
65 15 697.778297
65 20 693.064446
65 25 731.027115
65 30 753.452524
65 35 757.008370
65 40 747.010358
65 45 733.909542
65 5 697.765825
65 50 794.397939
65 60 794.465547
70 0 784.815579
70 10 786.923330
70 15 782.110036
70 20 774.484172
70 25 815.944901
70 30 830.836792
70 35 831.863631
70 40 816.342812
70 45 812.183052
70 5 773.342167
70 50 872.264037
70 60 866.479235
75 0 801.273513
75 10 801.503133
75 15 785.856070
75 20 778.126827
75 25 803.083610
75 30 806.341153
75 35 815.377508
75 40 808.654664
75 45 783.673397
75 5 788.909319
75 50 827.623149
75 60 825.693347
80 0 789.352161
80 10 794.412933
80 15 776.354475
80 20 770.835547
80 25 792.634757
80 30 802.345383
80 35 808.555121
80 40 792.770071
80 45 771.727037
80 5 785.060415
80 50 816.456824
80 60 798.917652
90 0 875.848460
90 10 871.183935
90 15 869.636326
90 20 850.474270
90 25 863.406454
90 30 872.252941
90 35 883.644243
90 40 865.229140
90 45 837.780065
90 5 872.568750
90 50 875.913088
90 60 860.018611
